Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.352142479283827,0.260970672868864,0.90549944283739,"X25(0.6403), X26(0.2076), X4(0.1096), X13(0.0654), X7(0.0605)"
X1,PSX,0.0737276236273906,0.0417156480062624,0.905499334407658,"X25(0.6395), X4(0.1221), X18(0.0613), X26(0.0580), X22(0.0282)"
X1,EKGA-std,0.238985313751669,0.149769585253456,0.585154937497839,"X30(0.0495), X25(0.0000), X7(0.0000), X16(0.0000), X23(0.0000)"
X1,AESL-GA,0.345635740426327,0.237498484108672,0.906471448508988,"X25(0.6423), X11(0.2729), X22(0.1577), X18(0.1296), X32(0.0711)"
X1,hybrid-SLA,0.405564852879351,0.307160172491672,0.90549945524718,"X25(0.0000), X26(0.0000), X4(0.0000), X7(0.0000), X16(0.0000)"
X1,MIGA,0.131063640409435,0.0299539170506912,2.37270574825535e-07,"X26(0.2070), X4(0.1095), X16(0.0696), X7(0.0683), X13(0.0216)"
X1,MAGA,0.313188665203758,0.210162223283775,0.90549945524718,"X25(0.6383), X26(0.1983), X4(0.1036), X7(0.0758), X16(0.0726)"
X22,AdaCSE,-0.0173622714185452,-0.00692842494342117,0.0711430143218695,"X18(0.2185), X11(0.2094), X20(0.1352), X29(0.0836), X21(0.0750)"
X22,PSX,0.0610313259030364,0.0324455040048708,0.0101205291336239,"X18(0.2794), X13(0.2100), X7(0.2054), X16(0.2017), X20(0.1918)"
X22,EKGA-std,0.104407413105915,0.0874645675622237,0.5464441210837,"X1(0.0000), X12(0.0000), X13(0.0000), X16(0.0000), X18(0.0000)"
X22,AESL-GA,0.104136703728448,0.0977934934565119,0.00188451263872306,"X18(0.2250), X20(0.2240), X29(0.0779), X5(0.0720), X16(0.0548)"
X22,hybrid-SLA,0.0814691197331737,0.0623558244907905,0.0567159389998024,"X18(0.2528), X20(0.2261), X11(0.1410), X29(0.0983), X5(0.0727)"
X22,MIGA,0.07543391188251,0.0345622119815668,0.0567159389998024,"X18(0.2505), X20(0.2255), X11(0.1395), X29(0.0975), X5(0.0725)"
X22,MAGA,0.338114058481789,0.274329052990568,0.484298241010099,"X11(0.0000), X14(0.0000), X2(0.0000), X12(0.0000), X15(0.0000)"
