Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.408458564782442,0.260970672868864,0.905499331614724,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X16(0.0000)"
X1,PSX,0.351252106390568,0.256351722906583,0.905499442647571,"X25(0.6407), X26(0.2077), X4(0.1272), X16(0.0005), X7(0.0005)"
X1,EKGA-std,0.0596350689808634,0.0253456221198157,0.905499257986609,"X25(0.6403), X28(0.6265), X18(0.0697), X20(0.0323), X11(0.0310)"
X1,AESL-GA,0.0945480993166211,0.0791661613695573,0.905499331425501,"X25(0.6401), X26(0.2074), X4(0.1096), X30(0.0479), X28(0.0057)"
X1,hybrid-SLA,-0.0449638311095658,-0.0300231747548251,0.90549944283739,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X7(0.0000)"
X1,MIGA,0.448970531425714,0.344111772189918,0.905499442647571,"X25(0.0000), X26(0.0000), X4(0.0000), X16(0.0000), X7(0.0000)"
X1,MAGA,0.0509738481390622,0.0300231747548251,0.905499331614724,"X25(0.6404), X26(0.1655), X4(0.0005), X13(0.0001), X16(0.0001)"
X22,AdaCSE,0.169748184461415,0.1268503449844,0.0574826437014349,"X7(0.0000), X29(0.0000), X11(0.0000), X20(0.0000), X24(0.0000)"
X22,PSX,0.170397679984755,0.152957376022962,0.000245261936684034,"X5(0.1282), X15(0.0623), X20(0.0003), X9(0.0002), X18(0.0002)"
X22,EKGA-std,0.0856708593384038,0.0638480116581372,0.0118579374143132,"X25(0.0000), X13(0.0000), X29(0.0000), X5(0.0000), X9(0.0000)"
X22,AESL-GA,0.0240428750590484,0.0219167389354251,0.373746394106804,"X20(0.0000), X16(0.0000), X18(0.0000), X12(0.0000), X13(0.0000)"
X22,hybrid-SLA,-0.116416255793579,-0.0808316243399136,0.056721105743918,"X18(0.2512), X20(0.2263), X11(0.1321), X29(0.0976), X9(0.0840)"
X22,MIGA,0.115080696453691,0.0762126743776328,0.056721105743918,"X18(0.2520), X20(0.2264), X11(0.1319), X29(0.0929), X9(0.0848)"
X22,MAGA,0.178519765098375,0.136259023887283,0.0444846707937752,"X20(0.2979), X18(0.2753), X29(0.1140), X5(0.0955), X11(0.0921)"
