Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.444073480512791,0.330254922303076,0.90549945524718,"X25(0.6402), X26(0.0006), X4(0.0003), X7(0.0002), X16(0.0001)"
X1,PSX,0.169729453788736,0.1112417280167,0.452749741873968,"X26(0.7137), X4(0.2865), X25(0.0127), X13(0.0013), X10(0.0012)"
X1,EKGA-std,0.359145527369826,0.251152073732719,0.907428854568756,"X25(0.6673), X32(0.1874), X21(0.0904), X28(0.0859), X7(0.0758)"
X1,AESL-GA,0.301613817591394,0.196305373396933,0.905499455417685,"X25(0.6484), X26(0.1049), X4(0.0486), X7(0.0172), X13(0.0157)"
X1,hybrid-SLA,0.272008918890542,0.200924323359214,0.905499331614724,"X25(0.6384), X26(0.0006), X4(0.0003), X13(0.0001), X16(0.0001)"
X1,MIGA,0.398976412995105,0.26036866359447,0.905499331614724,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X16(0.0000)"
X1,MAGA,0.203895392556249,0.131640073925002,0.905499442647571,"X25(0.6393), X26(0.2072), X4(0.1277), X16(0.0702), X7(0.0689)"
X22,AdaCSE,0.0950473063553693,0.0623558244907905,0.056721105743918,"X18(0.2516), X20(0.2263), X11(0.1317), X29(0.0928), X9(0.0849)"
X22,PSX,0.153692025084289,0.106606656016004,0.0711419965574963,"X18(0.2180), X11(0.2088), X20(0.1344), X29(0.0881), X5(0.0419)"
X22,EKGA-std,0.200044503782822,0.158986175115207,0.0565555870230777,"X18(0.2507), X20(0.2252), X11(0.1315), X5(0.1274), X29(0.0856)"
X22,AESL-GA,0.189426833040794,0.127021123962721,0.00145594763911257,"X9(0.1511), X32(0.0868), X18(0.0596), X20(0.0366), X29(0.0233)"
X22,hybrid-SLA,-0.200333900983214,-0.127021123962721,2.62874176625983e-05,"X20(0.2400), X21(0.2315), X18(0.1726), X23(0.0954), X24(0.0823)"
X22,MIGA,-0.162216288384513,-0.112903225806452,0.0551413198606009,"X18(0.2534), X20(0.2258), X11(0.1438), X30(0.0999), X5(0.0726)"
X22,MAGA,-0.0667779669944046,-0.0484989746039482,0.0551183109130687,"X20(0.2882), X9(0.2137), X11(0.1577), X5(0.1352), X18(0.1149)"
