Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,2.16350049416503e-05,2.17713416525989e-05,1,0.610611212066713,1,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,2,X26,26,4.20257233574306e-06,7.03429507975528e-06,12,6.32754551532777e-08,2,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,3,X4,4,1.98024322350943e-06,3.85112206968685e-06,14,2.0781289217231e-08,3,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,4,X7,7,9.80762261154622e-07,1.96021286980042e-06,11,1.93876354276368e-07,4,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,5,X16,16,9.24828376130948e-07,1.836522260934e-06,25,2.76306755253586e-13,5,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,6,X13,13,9.17371197062256e-07,1.82774119572571e-06,18,2.97488617073682e-10,6,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,7,X10,10,3.32227382604522e-07,1.69021037610406e-07,28,5.55111512312578e-17,7,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,8,X28,27,3.13390938783131e-07,1.61872637960414e-07,22,1.5640544415163e-12,8,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,9,X24,24,1.72574881884824e-07,3.05365944530678e-07,2,0.0405671837754507,9,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,10,X20,20,1.6160475502236e-07,3.09726967628876e-07,30,0,10,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,11,X23,23,1.43773386973578e-07,2.6042721978925e-07,5,0.0241395742803053,11,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,12,X3,3,1.17505665558904e-07,2.22293031093557e-07,4,0.0286859336393597,12,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,13,X2,2,8.25286385064405e-08,1.610434749999e-07,6,0.0108630086416883,13,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,14,X21,21,6.43107998798964e-08,1.27802700866653e-07,8,0.000463876998960722,14,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,15,X5,5,5.8224778470839e-08,1.08948410737497e-07,29,0,15,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,16,X22,22,5.29734552889849e-08,7.40572607682566e-08,13,3.09196947489987e-08,16,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,17,X18,18,5.00930850688697e-08,9.45542226737928e-08,23,9.16072773193832e-13,17,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,18,X6,6,4.97832363388628e-08,9.54596375279948e-08,3,0.0328748744129432,18,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,19,X11,11,4.16279601622715e-08,7.75574955369507e-08,17,2.04126446301522e-09,19,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,20,X32,30,3.02258106876785e-08,5.96338072256231e-08,7,0.00169461768999729,20,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,21,X15,15,2.86680380268134e-08,4.98185483976954e-08,21,6.49863496349212e-12,21,0,0.198998341643326,0.163972723660968,0.90549945524718
X1,AdaCSE,22,X29,28,2.01693200474473e-08,3.89422054603017e-08,20,6.80324963031609e-11,22,0,0.198998341643326,0.163972723660968,0.90549945524718
