Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.640420475122561,0.973654963539217,1,0.610611212066713,1,1,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,2,X26,26,0.000553418720477677,0.000904180869019555,12,6.32754551532777e-08,2,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,3,X4,4,0.000259225021047638,0.000494770943271217,14,2.0781289217231e-08,3,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,4,X16,16,0.000156874144249863,0.000310840261294132,25,2.76306755253586e-13,4,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,5,X13,13,0.000146639739296489,0.000289707736885081,18,2.97488617073682e-10,5,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,6,X7,7,0.000145671582342577,0.000291177289595268,11,1.93876354276368e-07,6,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,7,X18,18,2.74295131720559e-05,5.36397985115844e-05,23,9.16072773193832e-13,7,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,8,X11,11,2.11401997675387e-05,4.21257624436677e-05,17,2.04126446301522e-09,8,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,9,X9,9,2.0906589346531e-05,3.0603976540089e-05,10,1.4014527366657e-06,9,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,10,X22,22,1.75229068092586e-05,3.49860552417702e-05,13,3.09196947489987e-08,10,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,11,X29,28,1.14648338116474e-05,2.19668241334681e-05,20,6.80324963031609e-11,11,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,12,X23,23,7.48425316463019e-06,1.34645664897626e-05,5,0.0241395742803053,12,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,13,X24,24,6.08027336293504e-06,1.14761783085449e-05,2,0.0405671837754507,13,0,0.252643308462164,0.168591673623248,0.905499331595409
X1,AdaCSE,14,X14,14,4.34449056507802e-06,8.48077006487813e-06,19,1.89280729978591e-10,14,0,0.252643308462164,0.168591673623248,0.905499331595409
