Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.639674526965441,0.97197858283054,1,0.610611212066713,1,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,2,X26,26,0.203219384034668,0.397793984299151,12,6.32754551532777e-08,2,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,3,X4,4,0.109207129930484,0.217738342683339,14,2.0781289217231e-08,3,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,4,X13,13,0.0655788845390807,0.117257748039424,18,2.97488617073682e-10,4,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,5,X16,16,0.0631888687013039,0.113480497938989,25,2.76306755253586e-13,5,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,6,X23,23,0.0264419910434688,0.0487936788483978,5,0.0241395742803053,6,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,7,X24,24,0.0216698020189818,0.0416353584164364,2,0.0405671837754507,7,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,8,X7,7,0.0203759559218537,0.0392175514551614,11,1.93876354276368e-07,8,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,9,X20,20,0.0161192871519044,0.032191877735797,30,0,9,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,10,X3,3,0.0154466476807696,0.0303217038393386,4,0.0286859336393597,10,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,11,X2,2,0.0154040232171569,0.0302111678538841,6,0.0108630086416883,11,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,12,X22,22,0.00638467563786166,0.0118922586363364,13,3.09196947489987e-08,12,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,13,X21,21,0.00581087314833248,0.0114042175102114,8,0.000463876998960722,13,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,14,X5,5,0.00571447102948477,0.0113357516304853,29,0,14,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,15,X6,6,0.00513291945563016,0.00985539926481405,3,0.0328748744129432,15,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,16,X32,30,0.00394559252807064,0.00776669038432454,7,0.00169461768999729,16,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,17,X15,15,0.00288598875191193,0.00508363982324456,21,6.49863496349212e-12,17,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,18,X9,9,0.00136061344938104,0.00258023358969117,10,1.4014527366657e-06,18,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,19,X10,10,0.00118936014088822,0.00209127922641761,28,5.55111512312578e-17,19,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,20,X28,27,0.00115604635666397,0.00204876707331558,22,1.5640544415163e-12,20,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,21,X18,18,0.000460171071142712,0.00087829625294189,23,9.16072773193832e-13,21,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,22,X29,28,0.000186665254539142,0.000361221178204474,20,6.80324963031609e-11,22,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,23,X14,14,7.26738741260169e-05,0.000139559944138501,19,1.89280729978591e-10,23,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,24,X12,12,4.59156442583486e-05,8.53936148681456e-05,15,1.40002664739125e-08,24,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,25,X30,29,4.3969040270958e-05,8.5174166964741e-05,26,5.33184607576231e-14,25,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,26,X11,11,8.141958961011e-06,1.546820295939e-05,17,2.04126446301522e-09,26,1,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,27,X8,8,0,0,9,1.51984855462084e-06,27,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,28,X17,17,0,0,24,3.67816888058314e-13,28,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,29,X19,19,0,0,27,1.77635683940025e-15,29,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,AdaCSE,30,X33,31,0,0,16,2.08682082725176e-09,30,0,0.390689582605568,0.264199104039662,0.905499331614724
X1,PSX,1,X25,25,0.640017617884374,0.972684432600489,1,0.610611212066713,1,1,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,2,X4,4,0.127026722925457,0.250500111037086,14,2.0781289217231e-08,2,1,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,3,X26,26,0.0691743252608169,0.137067527430126,12,6.32754551532777e-08,3,1,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,4,X2,2,0,0,6,0.0108630086416883,4,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,5,X3,3,0,0,4,0.0286859336393597,5,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,6,X5,5,0,0,29,0,6,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,7,X6,6,0,0,3,0.0328748744129432,7,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,8,X7,7,0,0,11,1.93876354276368e-07,8,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,9,X8,8,0,0,9,1.51984855462084e-06,9,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,10,X9,9,0,0,10,1.4014527366657e-06,10,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,11,X10,10,0,0,28,5.55111512312578e-17,11,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,12,X11,11,0,0,17,2.04126446301522e-09,12,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,13,X12,12,0,0,15,1.40002664739125e-08,13,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,14,X13,13,0,0,18,2.97488617073682e-10,14,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,15,X14,14,0,0,19,1.89280729978591e-10,15,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,16,X15,15,0,0,21,6.49863496349212e-12,16,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,17,X16,16,0,0,25,2.76306755253586e-13,17,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,18,X17,17,0,0,24,3.67816888058314e-13,18,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,19,X18,18,0,0,23,9.16072773193832e-13,19,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,20,X19,19,0,0,27,1.77635683940025e-15,20,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,21,X20,20,0,0,30,0,21,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,22,X21,21,0,0,8,0.000463876998960722,22,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,23,X22,22,0,0,13,3.09196947489987e-08,23,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,24,X23,23,0,0,5,0.0241395742803053,24,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,25,X24,24,0,0,2,0.0405671837754507,25,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,26,X28,27,0,0,22,1.5640544415163e-12,26,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,27,X29,28,0,0,20,6.80324963031609e-11,27,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,28,X30,29,0,0,26,5.33184607576231e-14,28,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,29,X32,30,0,0,7,0.00169461768999729,29,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,PSX,30,X33,31,0,0,16,2.08682082725176e-09,30,0,0.259340476358127,0.209495878601933,0.928893692018446
X1,EKGA-std,1,X30,29,0.64839985094912,0.977552627103026,26,5.33184607576231e-14,1,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,2,X23,23,0.521151938525907,0.84204159204164,5,0.0241395742803053,2,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,3,X2,2,0.281934563100431,0.531758525875276,6,0.0108630086416883,3,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,4,X21,21,0.224835167315384,0.431671227047911,8,0.000463876998960722,4,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,5,X26,26,0.208666686240154,0.403065551553785,12,6.32754551532777e-08,5,1,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,6,X16,16,0.128112860643143,0.231610941434949,25,2.76306755253586e-13,6,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,7,X32,30,0.127443259989934,0.231450179158424,7,0.00169461768999729,7,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,8,X13,13,0.118564862207094,0.216477969743983,18,2.97488617073682e-10,8,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,9,X7,7,0.11528831867448,0.215617053548944,11,1.93876354276368e-07,9,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,10,X4,4,0.110381812414395,0.220627421007886,14,2.0781289217231e-08,10,1,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,11,X17,17,0.0650008870546167,0.128696765425056,24,3.67816888058314e-13,11,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,12,X28,27,0.0418079885042232,0.0559087744873121,22,1.5640544415163e-12,12,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,13,X10,10,0.040250566526538,0.05453229706072,28,5.55111512312578e-17,13,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,14,X24,24,0.0331989035913963,0.049453371222411,2,0.0405671837754507,14,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,15,X18,18,0.0271881959025385,0.0533072926550016,23,9.16072773193832e-13,15,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,16,X3,3,0.023745327501253,0.0392594625773546,4,0.0286859336393597,16,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,17,X9,9,0.0138501019505065,0.0106546181518903,10,1.4014527366657e-06,17,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,18,X14,14,0.0127366293113602,0.0239094060343839,19,1.89280729978591e-10,18,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,19,X8,8,0.0121621970430217,0.0225737115924862,9,1.51984855462084e-06,19,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,20,X22,22,0.00903196037441248,0.0167642395459797,13,3.09196947489987e-08,20,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,21,X11,11,0.00151867356140406,0.000537921916290429,17,2.04126446301522e-09,21,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,22,X20,20,0.00131686501514658,0.00230365601132565,30,0,22,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,23,X29,28,0.0012865304769033,0.00170349234749478,20,6.80324963031609e-11,23,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,24,X5,5,0.000423983354541413,0.000832429083827968,29,0,24,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,25,X25,25,0.000276098030395966,7.30968989119951e-05,1,0.610611212066713,25,1,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,26,X33,31,5.586460420548e-05,4.71281245673083e-05,16,2.08682082725176e-09,26,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,27,X6,6,7.77194224435562e-06,1.22360311263225e-05,3,0.0328748744129432,27,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,28,X12,12,2.77555756156289e-17,0,15,1.40002664739125e-08,28,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,29,X15,15,0,0,21,6.49863496349212e-12,29,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,EKGA-std,30,X19,19,0,0,27,1.77635683940025e-15,30,0,0.144414775255897,0.122119815668203,0.0309366095032137
X1,AESL-GA,1,X25,25,0.63877248198585,0.963097548480814,1,0.610611212066713,1,1,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,2,X32,30,0.145928164758404,0.269989624057364,7,0.00169461768999729,2,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,3,X21,21,0.058805603071933,0.115275626650012,8,0.000463876998960722,3,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,4,X11,11,0.0572696155503233,0.110685778512627,17,2.04126446301522e-09,4,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,5,X23,23,0.0357045721394156,0.0511204235247122,5,0.0241395742803053,5,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,6,X18,18,0.028178437312,0.0541804451187942,23,9.16072773193832e-13,6,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,7,X24,24,0.0266726619375091,0.0420034143446451,2,0.0405671837754507,7,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,8,X22,22,0.0259490197711644,0.0496041490259067,13,3.09196947489987e-08,8,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,9,X26,26,0.0210792438365646,0.0281140247058347,12,6.32754551532777e-08,9,1,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,10,X13,13,0.0173584896891201,0.0302699490062035,18,2.97488617073682e-10,10,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,11,X3,3,0.0166000945154048,0.0281845457997401,4,0.0286859336393597,11,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,12,X7,7,0.016037365658147,0.0283650176471228,11,1.93876354276368e-07,12,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,13,X16,16,0.0158191083291166,0.0281975130566039,25,2.76306755253586e-13,13,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,14,X20,20,0.0153682924717922,0.0293993599657461,30,0,14,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,15,X2,2,0.0135420127120517,0.0251759733158308,6,0.0108630086416883,15,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,16,X29,28,0.0114883488434025,0.0222691001257895,20,6.80324963031609e-11,16,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,17,X4,4,0.00834384653886269,0.0153974231010299,14,2.0781289217231e-08,17,1,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,18,X5,5,0.00522063772560319,0.010269946587647,29,0,18,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,19,X6,6,0.00465067616378884,0.00894118742892447,3,0.0328748744129432,19,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,20,X14,14,0.00447858842819529,0.00860365583795186,19,1.89280729978591e-10,20,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,21,X10,10,0.00420417276003116,0.00580057459799455,28,5.55111512312578e-17,21,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,22,X28,27,0.00410606745971617,0.00572356932657225,22,1.5640544415163e-12,22,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,23,X12,12,0.00358704866936058,0.00688257560051131,15,1.40002664739125e-08,23,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,24,X9,9,0.00271698904638532,0.00523321141098054,10,1.4014527366657e-06,24,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,25,X30,29,0.00271025827771001,0.00524892871935245,26,5.33184607576231e-14,25,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,26,X8,8,2.77555756156289e-17,0,9,1.51984855462084e-06,26,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,27,X15,15,2.77555756156289e-17,0,21,6.49863496349212e-12,27,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,28,X17,17,2.77555756156289e-17,0,24,3.67816888058314e-13,28,0,0.455570204961926,0.31200781245649,0.92127711543235
X1,AESL-GA,29,X19,19,2.77555756156289e-17,0,27,1.77635683940025e-15,29,0,0.455570204961926,0.31200781245649,0.92127711543235
