Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.252643308462164,0.168591673623248,0.905499331595409,"X25(0.6404), X26(0.0006), X4(0.0003), X16(0.0002), X13(0.0001)"
X1,PSX,-0.0391938655962753,-0.0370805760055666,0.905499331424815,"X25(0.6400), X26(0.2038), X4(0.1094), X30(0.0497), X17(0.0065)"
X1,EKGA-std,-0.433834192240315,-0.307160172491672,9.00604044328029e-09,"X30(0.6401), X29(0.1152), X17(0.0646), X12(0.0244), X18(0.0094)"
X1,AESL-GA,-0.0467758337213052,-0.0231753600034791,0.90549945524718,"X25(0.0000), X26(0.0000), X4(0.0000), X7(0.0000), X16(0.0000)"
X1,hybrid-SLA,0.348580987710792,0.256351722906583,0.906767686660194,"X25(0.6409), X28(0.1048), X10(0.1026), X21(0.0165), X32(0.0096)"
X1,MIGA,0.479252422589578,0.33141563945685,0.905499331614724,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X16(0.0000)"
X1,MAGA,-0.125319984726166,-0.071593724415352,0.905499331425568,"X25(0.6381), X26(0.2029), X4(0.1099), X28(0.1040), X10(0.1019)"
X22,AdaCSE,0.0914858147823344,0.0392610746793866,0.056721105743918,"X18(0.2501), X20(0.2265), X11(0.1324), X29(0.0920), X9(0.0784)"
X22,PSX,-0.131495918956915,-0.106712912887048,0.00142481092802968,"X21(0.0000), X2(0.0000), X9(0.0000), X26(0.0000), X29(0.0000)"
X22,EKGA-std,0.0898301702601204,0.0708360271212517,0.422671861892261,"X9(0.0000), X2(0.0000), X11(0.0000), X12(0.0000), X21(0.0000)"
X22,AESL-GA,-0.0220086002563563,-0.0158304182274529,0.000177338162201647,"X21(0.0000), X6(0.0000), X15(0.0000), X20(0.0000), X26(0.0000)"
X22,hybrid-SLA,0.0360601021769785,0.00230947498114039,0.0567159389998024,"X18(0.2529), X20(0.2268), X11(0.1403), X29(0.0983), X5(0.0729)"
X22,MIGA,-0.0402759234534935,-0.0161290322580645,0.0711419965575096,"X18(0.2183), X11(0.2093), X20(0.1342), X29(0.0836), X23(0.0548)"
X22,MAGA,0.0479563657085087,0.0328751084031376,0.0696654149026451,"X9(0.0000), X11(0.0000), X20(0.0000), X2(0.0000), X15(0.0000)"
