Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.198330561973382,0.159353773698687,0.905499331425467,"X25(0.6398), X26(0.2035), X4(0.1093), X10(0.1032), X28(0.1016)"
X1,PSX,0.0830272722963764,0.071593724415352,0.905499331425467,"X25(0.6407), X26(0.2096), X4(0.1111), X10(0.1034), X28(0.1018)"
X1,EKGA-std,0.221183800623053,0.131336405529954,0.905499427459456,"X25(0.0000), X26(0.0000), X13(0.0000), X16(0.0000), X7(0.0000)"
X1,AESL-GA,0.511193039954264,0.389346048058449,0.111218093646598,"X24(0.1018), X23(0.0828), X3(0.0649), X2(0.0458), X21(0.0413)"
X1,hybrid-SLA,0.188313866924221,0.136259023887283,0.452749680741927,"X10(0.1037), X28(0.1015), X25(0.0000), X26(0.0000), X4(0.0000)"
X1,MIGA,0.361815754339119,0.269585253456221,0.90549944283739,"X25(0.6404), X26(0.0006), X4(0.0003), X13(0.0001), X7(0.0001)"
X1,MAGA,0.247911918722918,0.16686259202505,0.90549944283739,"X25(0.6399), X26(0.2048), X4(0.1105), X13(0.0878), X7(0.0816)"
X22,AdaCSE,-0.00534223735955237,-0.0115473749057019,0.0711430143218695,"X18(0.2187), X11(0.2095), X20(0.1363), X29(0.0885), X21(0.0751)"
X22,PSX,-0.0303723754760809,-0.0318538921247552,0.0619830424982177,"X18(0.0000), X3(0.0000), X11(0.0000), X13(0.0000), X21(0.0000)"
X22,EKGA-std,NaN,NaN,2.94484012436207e-11,"X1(0.0000), X2(0.0000), X3(0.0000), X4(0.0000), X5(0.0000)"
X22,AESL-GA,0.0661615825144995,0.0393390611290854,0.055125808779214,"X32(0.0863), X18(0.0000), X11(0.0000), X1(0.0000), X10(0.0000)"
X22,hybrid-SLA,0.151140798630669,0.154734823736406,0.056721105743918,"X18(0.2479), X20(0.2259), X11(0.1264), X29(0.0964), X9(0.0775)"
X22,MIGA,0.0307076101468625,0.0253456221198157,0.0711419965575096,"X18(0.2185), X11(0.2090), X20(0.1387), X29(0.0884), X23(0.0714)"
X22,MAGA,0.106247965166965,0.078796224011829,0.0709883225006665,"X18(0.1688), X11(0.1556), X9(0.1050), X20(0.1033), X29(0.0652)"
