Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.640496448037966,0.973791268820814,1,0.610611212066713,1,1,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,2,X26,26,0.000553164517214016,0.000903791525414199,12,6.32754551532777e-08,2,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,3,X4,4,0.000259111824588459,0.000494557913917948,14,2.0781289217231e-08,3,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,4,X16,16,0.000157830108414664,0.000312871743090248,25,2.76306755253586e-13,4,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,5,X13,13,0.000147768702159379,0.000292030140791599,18,2.97488617073682e-10,5,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,6,X7,7,0.000146802988134381,0.000293522007287716,11,1.93876354276368e-07,6,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,7,X10,10,7.98876306187801e-05,0.000138776477883962,28,5.55111512312578e-17,7,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,8,X28,27,7.76127967921647e-05,0.000135932267961714,22,1.5640544415163e-12,8,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,9,X20,20,3.72744447688922e-05,7.20442710910874e-05,30,0,9,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,10,X9,9,3.11371959618445e-05,5.27678369164342e-05,10,1.4014527366657e-06,10,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,11,X24,24,2.7436760679872e-05,4.82726180370818e-05,2,0.0405671837754507,11,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,12,X23,23,2.2897340577005e-05,4.14754278303953e-05,5,0.0241395742803053,12,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,13,X3,3,1.86014033358717e-05,3.51853496196597e-05,4,0.0286859336393597,13,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,14,X2,2,1.35109330720584e-05,2.58176651617426e-05,6,0.0108630086416883,14,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,15,X18,18,1.31843591434089e-05,2.49449566858129e-05,23,9.16072773193832e-13,15,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,16,X5,5,1.27850040829436e-05,2.55352257376718e-05,29,0,16,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,17,X22,22,1.21739811861366e-05,2.20768676808536e-05,13,3.09196947489987e-08,17,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,18,X21,21,1.20038590372129e-05,2.30504176765844e-05,8,0.000463876998960722,18,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,19,X6,6,1.1561826290335e-05,2.21755356024644e-05,3,0.0328748744129432,19,0,0.158041188553424,0.122402174000441,0.905499331595409
X1,AdaCSE,20,X11,11,6.74141310319509e-06,1.29048361423578e-05,17,2.04126446301522e-09,20,0,0.158041188553424,0.122402174000441,0.905499331595409
