Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.0941569334621105,0.0762126743776328,0.905499327938828,"X25(0.0000), X26(0.0000), X28(0.0000), X10(0.0000), X4(0.0000)"
X1,PSX,0.311120117698694,0.258496182752659,0.936932778062838,"X25(0.6400), X2(0.0000), X3(0.0000), X4(0.0000), X5(0.0000)"
X1,EKGA-std,0.369117812941555,0.239355739607725,0.906767830412405,"X25(0.6359), X16(0.1261), X7(0.1175), X21(0.1083), X32(0.0726)"
X1,AESL-GA,0.00511964413623769,-0.0115473749057019,0.905499309148341,"X25(0.6399), X10(0.1035), X28(0.1013), X26(0.0006), X4(0.0003)"
X1,hybrid-SLA,0.121090713483187,0.0854505743021944,0.905499309148644,"X25(0.6400), X28(0.1055), X10(0.1033), X26(0.0006), X4(0.0003)"
X1,MIGA,0.310294953300667,0.214781173246056,0.905499331595409,"X25(0.0000), X26(0.0000), X4(0.0000), X16(0.0000), X13(0.0000)"
X1,MAGA,0.191558176192012,0.134417088020179,0.905499327938668,"X25(0.6364), X26(0.2200), X10(0.1032), X28(0.1010), X4(0.0987)"
X22,AdaCSE,0.043405678546363,0.0254042247925443,0.056721105743918,"X18(0.2911), X20(0.2883), X11(0.1576), X29(0.1123), X9(0.1112)"
X22,PSX,-0.0828138995707322,-0.0231215263419178,0.0551253986963653,"X9(0.1539), X20(0.0001), X11(0.0001), X18(0.0001), X23(0.0000)"
X22,EKGA-std,0.16019579585167,0.128883859788775,0.0709816445807716,"X18(0.2415), X11(0.2178), X20(0.1611), X5(0.1496), X29(0.0927)"
X22,AESL-GA,0.06655537377109,0.0207852748302635,0.0565555870230777,"X18(0.2495), X20(0.2256), X11(0.1291), X5(0.1271), X29(0.0971)"
X22,hybrid-SLA,0.0941255006675567,0.076036866359447,0.0567159389998024,"X18(0.2514), X20(0.2261), X11(0.1399), X29(0.0978), X5(0.0727)"
X22,MIGA,-0.0803561536166002,-0.0669747744530713,0.0695687851846464,"X18(0.2194), X11(0.2144), X20(0.1359), X21(0.1025), X32(0.0921)"
X22,MAGA,-0.0291792105594809,-0.0324455040048708,0.0565275449793647,"X5(0.1284), X20(0.0001), X11(0.0001), X18(0.0001), X29(0.0000)"
