Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.640298317580539,0.973204596396702,1,0.610611212066713,1,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,2,X26,26,0.207617446785474,0.400475689277102,12,6.32754551532777e-08,2,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,3,X4,4,0.109643717002387,0.219210180915251,14,2.0781289217231e-08,3,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,4,X13,13,0.0653665062593201,0.117375374001667,18,2.97488617073682e-10,4,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,5,X7,7,0.0605079041089885,0.109738064519991,11,1.93876354276368e-07,5,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,6,X16,16,0.0597445734155904,0.109271291978335,25,2.76306755253586e-13,6,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,7,X23,23,0.0168310176458095,0.0305291422392826,5,0.0241395742803053,7,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,8,X20,20,0.0159508292161621,0.0314797510520672,30,0,8,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,9,X24,24,0.013711997574297,0.0260303744444481,2,0.0405671837754507,9,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,10,X3,3,0.00970792056415604,0.0189559461555791,4,0.0286859336393597,10,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,11,X2,2,0.00967186405035531,0.018880444392436,6,0.0108630086416883,11,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,12,X22,22,0.00770551846745091,0.014488004410683,13,3.09196947489987e-08,12,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,13,X5,5,0.00589016358181596,0.0110811188542499,29,0,13,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,14,X6,6,0.00503272985412792,0.00965880080866377,3,0.0328748744129432,14,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,15,X11,11,0.00321939605183996,0.00639391519561583,17,2.04126446301522e-09,15,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,16,X15,15,0.00289451917036113,0.00500282298549903,21,6.49863496349212e-12,16,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,17,X18,18,0.00257755171862456,0.0047463507868839,23,9.16072773193832e-13,17,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,18,X21,21,0.00120100269927328,0.0021915904901757,8,0.000463876998960722,18,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,19,X9,9,0.0011335953089594,0.00219515566265249,10,1.4014527366657e-06,19,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,20,X29,28,0.00096716836588398,0.00192074319665947,20,6.80324963031609e-11,20,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,21,X32,30,0.000963063887276516,0.00180871979380548,7,0.00169461768999729,21,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,22,X14,14,0.000384191127465988,0.000741903908255459,19,1.89280729978591e-10,22,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,23,X12,12,0.000246204376742831,0.000458293706387281,15,1.40002664739125e-08,23,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,24,X30,29,0.000233121945214382,0.00045010811094981,26,5.33184607576231e-14,24,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,25,X10,10,0.000230477294637349,0.000411934710480955,28,5.55111512312578e-17,25,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,26,X28,27,0.000224168551438364,0.000403652083504236,22,1.5640544415163e-12,26,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,27,X17,17,3.4452015249431e-05,6.54806443387557e-05,24,3.67816888058314e-13,27,1,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,28,X8,8,0,0,9,1.51984855462084e-06,28,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,29,X19,19,0,0,27,1.77635683940025e-15,29,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,AdaCSE,30,X33,31,0,0,16,2.08682082725176e-09,30,0,0.352142479283827,0.260970672868864,0.90549944283739
X1,PSX,1,X25,25,0.639460509516064,0.971966557232067,1,0.610611212066713,1,1,0.0737276236273906,0.0417156480062624,0.905499334407658
X1,PSX,2,X4,4,0.122073670541627,0.241162242588208,14,2.0781289217231e-08,2,1,0.0737276236273906,0.0417156480062624,0.905499334407658
X1,PSX,3,X18,18,0.0613369924158406,0.101088938800025,23,9.16072773193832e-13,3,1,0.0737276236273906,0.0417156480062624,0.905499334407658
X1,PSX,4,X26,26,0.0579922113241393,0.115318173411224,12,6.32754551532777e-08,4,1,0.0737276236273906,0.0417156480062624,0.905499334407658
X1,PSX,5,X22,22,0.0281527687505298,0.0549217592834088,13,3.09196947489987e-08,5,1,0.0737276236273906,0.0417156480062624,0.905499334407658
