Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.640226283961624,0.973292023990351,1,0.610611212066713,1,1,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,2,X26,26,0.000553816848884947,0.000904545994911299,12,6.32754551532777e-08,2,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,3,X4,4,0.000258630792418058,0.000497299103094484,14,2.0781289217231e-08,3,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,4,X7,7,0.000155994382846442,0.000277771791697523,11,1.93876354276368e-07,4,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,5,X16,16,0.000145829812706,0.000261872947733721,25,2.76306755253586e-13,5,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,6,X13,13,0.000144577801855922,0.000260481682745617,18,2.97488617073682e-10,6,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,7,X23,23,4.60293007444323e-05,9.00424252150422e-05,5,0.0241395742803053,7,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,8,X24,24,4.28795776933055e-05,8.43368319805027e-05,2,0.0405671837754507,8,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,9,X3,3,4.02045119414773e-05,7.88330264915871e-05,4,0.0286859336393597,9,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,10,X2,2,2.61821165525034e-05,5.15366486819602e-05,6,0.0108630086416883,10,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,11,X21,21,7.07402662772361e-06,1.36708595039892e-05,8,0.000463876998960722,11,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,12,X32,30,4.83190316216686e-06,9.30730262682644e-06,7,0.00169461768999729,12,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,13,X9,9,1.63763536492612e-06,3.09603111636747e-06,10,1.4014527366657e-06,13,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,14,X28,27,1.31024175126226e-06,2.46891393196336e-06,22,1.5640544415163e-12,14,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,15,X10,10,1.28891662462549e-06,2.42468021616205e-06,28,5.55111512312578e-17,15,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,16,X18,18,5.33782347489353e-07,1.02930206136165e-06,23,9.16072773193832e-13,16,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,17,X22,22,2.29687758340757e-07,4.31407219725344e-07,13,3.09196947489987e-08,17,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,18,X29,28,2.16597048102729e-07,4.19753226843511e-07,20,6.80324963031609e-11,18,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,19,X11,11,9.26440878457058e-08,1.81422158629374e-07,17,2.04126446301522e-09,19,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,20,X14,14,8.32355527002893e-08,1.62073073184388e-07,19,1.89280729978591e-10,20,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,21,X12,12,5.63313512502717e-08,1.01077048508813e-07,15,1.40002664739125e-08,21,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,22,X30,29,5.07732588472809e-08,9.75165663774646e-08,26,5.33184607576231e-14,22,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,23,X20,20,8.80107214884518e-09,1.47725391919096e-08,30,0,23,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,24,X17,17,7.4808538252924e-09,1.42068503627968e-08,24,3.67816888058314e-13,24,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,25,X5,5,2.76530928711161e-09,5.38349675949235e-09,29,0,25,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,26,X6,6,2.43689365908573e-09,4.65313121367217e-09,3,0.0328748744129432,26,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,27,X15,15,1.41163677969125e-09,2.5158013450266e-09,21,6.49863496349212e-12,27,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,28,X8,8,0,0,9,1.51984855462084e-06,28,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,29,X19,19,0,0,27,1.77635683940025e-15,29,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,AdaCSE,30,X33,31,0,0,16,2.08682082725176e-09,30,0,0.444073480512791,0.330254922303076,0.90549945524718
X1,PSX,1,X26,26,0.713693872648747,0.969803563422288,12,6.32754551532777e-08,1,1,0.169729453788736,0.1112417280167,0.452749741873968
X1,PSX,2,X4,4,0.286476307891792,0.531122126275157,14,2.0781289217231e-08,2,1,0.169729453788736,0.1112417280167,0.452749741873968
X1,PSX,3,X25,25,0.0126980641791345,0.0215509456783645,1,0.610611212066713,3,1,0.169729453788736,0.1112417280167,0.452749741873968
X1,PSX,4,X13,13,0.00127528797346618,0.00227810152796648,18,2.97488617073682e-10,4,0,0.169729453788736,0.1112417280167,0.452749741873968
X1,PSX,5,X10,10,0.00119540345330391,0.00229161856307636,28,5.55111512312578e-17,5,1,0.169729453788736,0.1112417280167,0.452749741873968
X1,PSX,6,X7,7,0.0011724996676076,0.00212947705001776,11,1.93876354276368e-07,6,0,0.169729453788736,0.1112417280167,0.452749741873968
