Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.396883717170078,0.279446472717987,0.905499331425568,"X25(0.6403), X26(0.1922), X4(0.0998), X28(0.0005), X10(0.0005)"
X1,PSX,0.3058248557112,0.208578240031312,0.905499459940131,"X25(0.6357), X26(0.0352), X7(0.0076), X16(0.0071), X13(0.0066)"
X1,EKGA-std,0.298175344904317,0.205069124423963,0.905500337709175,"X25(0.6398), X26(0.2077), X4(0.1280), X9(0.0289), X7(0.0276)"
X1,AESL-GA,0.248411751506405,0.158332322739115,0.905499331595409,"X25(0.0000), X26(0.0000), X4(0.0000), X16(0.0000), X13(0.0000)"
X1,hybrid-SLA,0.267557054424248,0.200924323359214,0.905499331614724,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X16(0.0000)"
X1,MIGA,0.298620382732532,0.205069124423963,0.90549945524718,"X25(0.6398), X26(0.0006), X4(0.0003), X7(0.0002), X16(0.0001)"
X1,MAGA,0.101057323384866,0.0762126743776328,0.905499331425467,"X25(0.6389), X26(0.2069), X4(0.1275), X10(0.1031), X28(0.1015)"
X22,AdaCSE,0.124652205056222,0.0900695242644751,0.0567159389998024,"X18(0.2540), X20(0.2258), X11(0.1442), X29(0.0987), X5(0.0726)"
X22,PSX,-0.0825584287422933,-0.0696332906832344,0.00393318704139361,"X10(0.0000), X1(0.0000), X2(0.0000), X6(0.0000), X14(0.0000)"
X22,EKGA-std,0.240542946150423,0.131336405529954,0.00234948323839046,"X30(0.0688), X29(0.0179), X18(0.0146), X9(0.0129), X17(0.0101)"
X22,AESL-GA,-0.1143942805411,-0.0884798274130346,0.0565555870230777,"X18(0.2492), X20(0.2267), X11(0.1336), X5(0.1275), X29(0.0969)"
X22,hybrid-SLA,0.0872565435393554,0.071593724415352,0.0567159389998024,"X18(0.2538), X20(0.2258), X11(0.1437), X29(0.0987), X5(0.0726)"
X22,MIGA,0.196929238985314,0.126728110599078,0.056721105743918,"X18(0.2517), X20(0.2263), X11(0.1317), X29(0.0928), X9(0.0848)"
X22,MAGA,0.24633539281954,0.193033133671913,0.111818750363722,"X11(0.0000), X15(0.0000), X20(0.0000), X21(0.0000), X29(0.0000)"
