Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.640290783583904,0.973420887639315,1,0.610611212066713,1,1,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,2,X26,26,0.19218369826688,0.363421645953618,12,6.32754551532777e-08,2,1,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,3,X4,4,0.0998074073776902,0.19893269043839,14,2.0781289217231e-08,3,1,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,4,X28,27,0.000490551684010687,0.000761113346953834,22,1.5640544415163e-12,4,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,5,X10,10,0.000474575885627937,0.000744245890588413,28,5.55111512312578e-17,5,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,6,X21,21,7.70577562954067e-05,0.000149329261952325,8,0.000463876998960722,6,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,7,X32,30,5.34322112087093e-05,0.000102979507706324,7,0.00169461768999729,7,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,8,X23,23,4.02566111502856e-05,7.51017488016537e-05,5,0.0241395742803053,8,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,9,X24,24,3.23522715828528e-05,6.2008259423374e-05,2,0.0405671837754507,9,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,10,X9,9,2.88749906822983e-05,5.60323503937532e-05,10,1.4014527366657e-06,10,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,11,X2,2,2.39320284283473e-05,4.69495871895376e-05,6,0.0108630086416883,11,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,12,X3,3,2.29806694670154e-05,4.51769111484701e-05,4,0.0286859336393597,12,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,13,X16,16,1.86151106574273e-05,3.21903355757769e-05,25,2.76306755253586e-13,13,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,14,X7,7,1.70039289195956e-05,2.95775315626301e-05,11,1.93876354276368e-07,14,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,15,X13,13,1.62223892122837e-05,2.83924495270149e-05,18,2.97488617073682e-10,15,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,16,X11,11,1.35612745588709e-05,2.60114346066764e-05,17,2.04126446301522e-09,16,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,17,X22,22,7.16578305265392e-06,1.39081368151217e-05,13,3.09196947489987e-08,17,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,18,X18,18,5.39902569918205e-06,1.01233687967994e-05,23,9.16072773193832e-13,18,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,19,X20,20,2.62785497873175e-06,4.90593261925909e-06,30,0,19,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,20,X29,28,2.16410616923901e-06,4.17284492160164e-06,20,6.80324963031609e-11,20,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,21,X5,5,8.79917343238334e-07,1.75026654081201e-06,29,0,21,0,0.396883717170078,0.279446472717987,0.905499331425568
X1,AdaCSE,22,X14,14,8.40215442388104e-07,1.61226024886219e-06,19,1.89280729978591e-10,22,0,0.396883717170078,0.279446472717987,0.905499331425568
