Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.158041188553424,0.122402174000441,0.905499331595409,"X25(0.6405), X26(0.0006), X4(0.0003), X16(0.0002), X13(0.0001)"
X1,PSX,0.457131140563852,0.321321478499968,0.906472522199506,"X25(0.6408), X26(0.1530), X9(0.0270), X13(0.0099), X32(0.0045)"
X1,EKGA-std,0.185135736537606,0.140552995391705,0.905499312747053,"X25(0.0000), X4(0.0000), X16(0.0000), X13(0.0000), X26(0.0000)"
X1,AESL-GA,0.210936735876553,0.152957376022962,0.905499442647571,"X25(0.0000), X26(0.0000), X4(0.0000), X16(0.0000), X7(0.0000)"
X1,hybrid-SLA,0.410016717345644,0.302541222529391,0.905499331614724,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X16(0.0000)"
X1,MIGA,0.262349799732977,0.168202764976959,0.905499442647571,"X25(0.6399), X26(0.2034), X4(0.1093), X16(0.0691), X7(0.0679)"
X1,MAGA,0.20224979532831,0.148322304022266,0.905499331425467,"X25(0.6426), X26(0.2053), X4(0.1332), X10(0.1037), X28(0.1020)"
X22,AdaCSE,-0.0360024936779995,-0.0218456958346133,0.426887907368136,"X3(0.0000), X5(0.0000), X12(0.0000), X15(0.0000), X16(0.0000)"
X22,PSX,0.216643173269893,0.172042587817612,0.0575157576877733,"X9(0.0000), X13(0.0000), X16(0.0000), X11(0.0000), X18(0.0000)"
X22,EKGA-std,0.0885625278148643,0.0576036866359447,0.0101027777748538,"X29(0.0131), X14(0.0052), X30(0.0029), X17(0.0004), X18(0.0000)"
X22,AESL-GA,0.302951577966527,0.235011704057908,0.330414458672322,"X7(0.0000), X16(0.0000), X9(0.0000), X15(0.0000), X12(0.0000)"
X22,hybrid-SLA,0.0514190345856916,0.0392610746793866,0.056721105743918,"X18(0.2496), X20(0.2265), X11(0.1310), X29(0.0969), X9(0.0796)"
X22,MIGA,-0.2601246105919,-0.191244239631336,0.069568395182668,"X18(0.2180), X11(0.2090), X20(0.1355), X30(0.0850), X21(0.0748)"
X22,MAGA,-0.280377392055722,-0.224207426732793,0.00508357006691515,"X4(0.0000), X10(0.0000), X14(0.0000), X20(0.0000), X23(0.0000)"
