Dataset,AdaptiveF1,Alpha0p01,Alpha0p02,Alpha0p03,Alpha0p05,Alpha0p10,Alpha0p20,Alpha0p30,Alpha0p50,Alpha1p00
AS-1000,0.9110,0.9110,0.9110,0.9110,0.9110,0.9110,0.9110,0.9110,0.9110,0.9110
IN-1000,0.6815,0.6976,0.6897,0.6429,0.6745,0.6644,0.6623,0.6559,0.6543,0.6518
WA-1000,0.4531,0.4506,0.4393,0.4482,0.4336,0.4375,0.4429,0.4436,0.4424,0.4207
AL-1000,0.8346,0.8070,0.7408,0.7399,0.8007,0.7874,0.8274,0.8264,0.7946,0.7537
HA-1000,0.6269,0.6164,0.5805,0.5884,0.6122,0.6320,0.6019,0.6098,0.5882,0.5978
HE-1000,0.5432,0.5331,0.5133,0.5066,0.5133,0.5121,0.4984,0.5072,0.4988,0.4963
PA-1000,0.6566,0.6199,0.6196,0.5797,0.6137,0.6313,0.6127,0.6311,0.6354,0.6547
AN-1000,0.6620,0.6505,0.5773,0.5563,0.6072,0.5931,0.5970,0.5800,0.5802,0.5762
