Method,F1Mean,F1Std,SensitivityMean,SensitivityStd,PrecisionMean,PrecisionStd,SHDMean,SHDStd,ReversedEdgesMean,ReversedEdgesStd,ScoreMean,ScoreStd,EdgeCountMean,EdgeCountStd,Trials
AdaCSE,0.261163839654406,0.0112263235218039,0.278967894850248,0.0142705439827986,0.245654163835283,0.0106519876672535,42.5,0.781735959970572,5.8,0.918936583472681,-41906.2695659942,24.0339798529729,31.4,1.07496769977314,10
PSX,0.235041793072868,0.0265235419419724,0.258750175134193,0.023851692261747,0.216059129926866,0.0306271447481285,46.2,3.59165699921359,3.4,1.57762127549323,-42529.6140038742,108.572189662111,33.5,3.02765035409749,10
EKGA-std,0.221049877837667,0.0374226001676219,0.271196078431373,0.0460895504129577,0.186762696729031,0.0322914898187489,50.9,2.93257565972304,5.8,1.22927259430572,-42707.3689615396,114.650968530409,39.4,1.89736659610103,10
AESL-GA,0.205937686357103,0.0316469819504843,0.217243404763937,0.0338853144258156,0.196082891680201,0.0313122210379221,45.25,2.11147657655332,4.9,0.875595035770913,-42136.4279237213,119.311360547484,30.8,1.68654808542314,10
hybrid-SLA,0.235676929639194,0.0272661976084857,0.255643380429095,0.0280864512944827,0.218622418114251,0.0263964632529234,44.2,1.5129074290547,6.8,1.22927259430572,-41906.4509963239,24.5712193343428,32.2,0.421637021355784,10
MIGA,0.25991822991823,0.0196250265901662,0.28101145073414,0.0184228888982677,0.241891858385137,0.0207719050575951,43.05,1.3632070031119,5.9,1.28668393770792,-41914.1607823445,32.2163912096385,32.1,0.994428926011753,10
MAGA,0.228489003348068,0.0311128562999873,0.253604974065098,0.0359324545646596,0.208080357827162,0.0280546195031465,46.2,1.82878222991269,4.8,1.31656117720877,-42141.7901553897,110.095736528222,33.6,1.42984070596848,10
