Method,F1_TKDE_Mean,F1_TKDE_Std,Sensitivity_TKDE_Mean,Sensitivity_TKDE_Std,Precision_TKDE_Mean,Precision_TKDE_Std,SHD_FPFN_Mean,SHD_FPFN_Std,SHD_Rev1_Mean,SHD_Rev1_Std,ReversedEdgesMean,ReversedEdgesStd,Trials
AdaCSE,0.138224442932743,0.0204194740142096,0.146428571428571,0.0202730790070552,0.130956133919844,0.0206069665204422,51.2,1.87379590967403,45.4,1.07496769977314,5.8,0.918936583472681,10
PSX,0.166030172613106,0.0322883222367639,0.182142857142857,0.035515318786134,0.153020875202139,0.0309909822714511,51.3,3.40098025084926,47.9,3.34829973435938,3.4,1.57762127549323,10
EKGA-std,0.115838426279603,0.0361378982214955,0.139285714285714,0.0427578214192094,0.0992376775271512,0.031466500011178,59.6,3.09838667696593,53.8,2.85968141193696,5.8,1.22927259430572,10
AESL-GA,0.10546910866087,0.0339723283072717,0.110714285714286,0.035515318786134,0.10085830856258,0.0330436020842202,52.6,2.50333111406914,47.7,2.16281709300111,4.9,0.875595035770913,10
hybrid-SLA,0.096448087431694,0.0457512281074672,0.103571428571429,0.0489400114073678,0.0902462121212121,0.0429549323686991,54.4,2.91356978445495,47.6,1.89736659610103,6.8,1.22927259430572,10
MIGA,0.136692420534975,0.0435864092796358,0.146428571428571,0.0459529977752828,0.128209454602956,0.0414730186663726,51.9,3.07137319994385,46,1.88561808316413,5.9,1.28668393770792,10
MAGA,0.132884456102829,0.046211565786507,0.146428571428571,0.0517549169506766,0.121707117597772,0.0417746965652392,53.4,2.83627298482435,48.6,2.01108041719978,4.8,1.31656117720877,10
