DataSize,Trial,Intervention,Method,Spearman,Kendall,NDCG_at_5,RankingSummaryFile,RankingDetailFile
1499,2,X1,PSX,0.259340476358127,0.209495878601933,0.928893692018446,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X1,EKGA-std,0.144414775255897,0.122119815668203,0.0309366095032137,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X1,AESL-GA,0.455570204961926,0.31200781245649,0.92127711543235,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X1,hybrid-SLA,0.180077917661578,0.136259023887283,0.90549945524718,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X1,MIGA,0.126878137289369,0.103926374151317,0.905499442647571,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X1,MAGA,0.252198122015535,0.191686423434652,0.905499309148644,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,AdaCSE,-0.124908307580381,-0.0868380461003336,0.00231570248892921,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,PSX,0.284822906915383,0.164151994446537,0.000377304516673762,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,EKGA-std,0.0621035093047963,0.0438800246416674,0.0551452516443908,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,AESL-GA,-0.0411696300146096,-0.0274329052990568,0.0550932923200864,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,hybrid-SLA,0.061985273904043,0.0335370897650439,4.92553348157557e-05,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,MIGA,0.205706181989844,0.156376045035491,0.0101957818534089,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,2,X22,MAGA,0.0338341699438317,0.0161663248679827,0.00147246041728499,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013730.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013730.csv
1499,3,X1,AdaCSE,0.396883717170078,0.279446472717987,0.905499331425568,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X1,PSX,0.3058248557112,0.208578240031312,0.905499459940131,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X1,EKGA-std,0.298175344904317,0.205069124423963,0.905500337709175,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X1,AESL-GA,0.248411751506405,0.158332322739115,0.905499331595409,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X1,hybrid-SLA,0.267557054424248,0.200924323359214,0.905499331614724,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X1,MIGA,0.298620382732532,0.205069124423963,0.90549945524718,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X1,MAGA,0.101057323384866,0.0762126743776328,0.905499331425467,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X22,AdaCSE,0.124652205056222,0.0900695242644751,0.0567159389998024,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X22,PSX,-0.0825584287422933,-0.0696332906832344,0.00393318704139361,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X22,EKGA-std,0.240542946150423,0.131336405529954,0.00234948323839046,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X22,AESL-GA,-0.1143942805411,-0.0884798274130346,0.0565555870230777,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
1499,3,X22,hybrid-SLA,0.0872565435393554,0.071593724415352,0.0567159389998024,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_summary_20260424_013731.csv,E:\GPT projects\BNSL_CSCGA_会议\[result]\20260424\TE_Real_Downstream_Ranking\real_te_downstream_ranking_20260424_013731.csv
